realtime_end,date,value,realtime_start
2018-11-26,2007-05-01,282034,2018-11-26
2018-11-26,2007-06-01,280492,2018-11-26
2018-11-26,2007-07-01,281330,2018-11-26
2018-11-26,2007-08-01,285589,2018-11-26
2018-11-26,2007-09-01,290053,2018-11-26
2018-11-26,2007-10-01,288717,2018-11-26
2018-11-26,2007-11-01,291628,2018-11-26
2018-11-26,2007-12-01,289482,2018-11-26
2018-11-26,2008-01-01,286970,2018-11-26
2018-11-26,2008-02-01,292327,2018-11-26
2018-11-26,2008-03-01,299540,2018-11-26
2018-11-26,2008-04-01,297038,2018-11-26
2018-11-26,2008-05-01,297896,2018-11-26
2018-11-26,2008-06-01,300053,2018-11-26
2018-11-26,2008-07-01,302727,2018-11-26
2018-11-26,2008-08-01,305899,2018-11-26
2018-11-26,2008-09-01,300748,2018-11-26
2018-11-26,2008-10-01,306812,2018-11-26
2018-11-26,2008-11-01,309153,2018-11-26
2018-11-26,2008-12-01,304622,2018-11-26
2018-11-26,2009-01-01,301899,2018-11-26
2018-11-26,2009-02-01,313191,2018-11-26
2018-11-26,2009-03-01,317598,2018-11-26
2018-11-26,2009-04-01,311619,2018-11-26
2018-11-26,2009-05-01,309864,2018-11-26
2018-11-26,2009-06-01,313078,2018-11-26
2018-11-26,2009-07-01,314092,2018-11-26
2018-11-26,2009-08-01,306447,2018-11-26
2018-11-26,2009-09-01,302497,2018-11-26
2018-11-26,2009-10-01,299576,2018-11-26
2018-11-26,2009-11-01,294604,2018-11-26
2018-11-26,2009-12-01,291538,2018-11-26
2018-11-26,2010-01-01,287272,2018-11-26
2018-11-26,2010-02-01,281923,2018-11-26
2018-11-26,2010-03-01,288734,2018-11-26
2018-11-26,2010-04-01,296433,2018-11-26
2018-11-26,2010-05-01,299047,2018-11-26
2018-11-26,2010-06-01,300922,2018-11-26
2018-11-26,2010-07-01,293532,2018-11-26
2018-11-26,2010-08-01,297541,2018-11-26
2018-11-26,2010-09-01,304024,2018-11-26
2018-11-26,2010-10-01,294920,2018-11-26
2018-11-26,2010-11-01,287429,2018-11-26
2018-11-26,2010-12-01,281837,2018-11-26
2018-11-26,2011-01-01,282968,2018-11-26
2018-11-26,2011-02-01,278448,2018-11-26
2018-11-26,2011-03-01,281492,2018-11-26
2018-11-26,2011-04-01,274964,2018-11-26
2018-11-26,2011-05-01,273908,2018-11-26
2018-11-26,2011-06-01,276482,2018-11-26
2018-11-26,2011-07-01,271196,2018-11-26
2018-11-26,2011-08-01,279825,2018-11-26
2018-11-26,2011-09-01,281529,2018-11-26
2018-11-26,2011-10-01,276573,2018-11-26
2018-11-26,2011-11-01,280487,2018-11-26
2018-11-26,2011-12-01,281789,2018-11-26
2018-11-26,2012-01-01,277655,2018-11-26
2018-11-26,2012-02-01,276474,2018-11-26
2018-11-26,2012-03-01,273879,2018-11-26
2018-11-26,2012-04-01,271839,2018-11-26
2018-11-26,2012-05-01,276528,2018-11-26
2018-11-26,2012-06-01,280108,2018-11-26
